title,url
Cheeseboat's Bringing Decadent Buttery Cheese Bread To Williamsburg,http://gothamist.com/2016/09/01/cheeseboat_williamsburg.php
South Williamsburg Mob Attack Victim Recounts Beating That Blinded Him In One Eye,http://gothamist.com/2016/09/01/taj_patterson_beating_testimony.php
New Development Proposed For Brooklyn's Broadway Triangle,http://gothamist.com/2016/08/31/a_new_developer_is_taking_a_shot_at.php
NYPD Detective: We Faced Unprecedented Stonewalling While Investigating Hasidic Mob Attack In Williamsburg,http://gothamist.com/2016/08/31/nypd_taj_patterson_williamsburg.php
"Williamsburg Welcomes Back Aska, A Nordic Eatery With A 'Destination' Tasting Menu",http://gothamist.com/2016/08/30/fredrik_berselius_aska.php
"After Apathetic First Response, Cops Arrest Uber & Lyft Driver Who Allegedly Assaulted Cyclist",http://gothamist.com/2016/08/29/uber_driver_cyclist_assault_arrest.php
Cyclist Says Uber Driver Assaulted Her In Front Of Cops & They Did Nothing,http://gothamist.com/2016/08/23/uber_cyclist_assault_williamsburg.php
New Brooklyn Millennial Reveals The Secret To Being 'Adultish',http://gothamist.com/2016/08/19/how_to_be_adultish.php
No Jail Time For Hasidic Neighborhood Patrolmen Who Brutally Beat Gay Black Student,http://gothamist.com/2016/08/17/hasidic_jewish_patrol_assault.php
Williamsburg Millennials Are Getting Their Very Own Pog Lounge Lifestyle Experience,http://gothamist.com/2016/08/16/williamsburgs_pog_based_economy.php
NYPD Searching For Man Who Struck Victim With Tire Iron Outside Rosemary's Tavern In Williamsburg,http://gothamist.com/2016/08/12/nypd_searching_for_man_who_struck_v.php
The Williamsburg Whole Foods Has Made A La Croix Cake (With No La Croix),http://gothamist.com/2016/08/09/la_croix_cake_deception.php
Cafe Moto Ends 14 Year Run In Williamsburg,http://gothamist.com/2016/08/08/rip_cafe_moto_williamsburg.php
Is This The Best Burger In America? Find Out Tonight In Williamsburg!,http://gothamist.com/2016/08/04/is_oaklands_kronnerburger_the_best.php
Williamsburg Muggers Repeatedly Stab Man During Cell Phone Robbery,http://gothamist.com/2016/08/01/williamsburg_stabbing_mugging.php
Photos: Toretto's Garage Recreated In Brooklyn For 'Fast & Furious' Party,http://gothamist.com/2016/07/30/fast_furious_party_2016.php
Williamsburg's Bedford Cheese Shop Leaving Home Of 10 Years,http://gothamist.com/2016/07/29/bedford_cheese_shop_moving.php
Williamsburg's Small Business Owners Are Dreading L-Mageddon: 'The Impact Will Hit Like A Bomb',http://gothamist.com/2016/07/29/l_train_fear_loathing_panic.php
Photos: Here's Your First Look At The Williamsburg Apple Store,http://gothamist.com/2016/07/28/photos_apple_store_wburg_brooklyn.php
Longtime Williamsburg Gym Owner Hangs Tough In The Face Of GYM-trification,http://gothamist.com/2016/07/27/gym-trification_frenchie.php
"First Look Inside Williamsburg's New Whole Foods, Opening Tuesday",http://gothamist.com/2016/07/25/photos_whole_foods_williamsburg.php
MTA Is Considering Multiple Options To Help L Train Shutdown Victims,http://gothamist.com/2016/07/25/no_escape_l_train_doom.php
It's Official: No L Train To (Or Through) Manhattan For 18 Months,http://gothamist.com/2016/07/25/talkin_l_train_shutdown_blues.php
Woman's Body Found On McCarren Park Bench,http://gothamist.com/2016/07/24/dead_body_mccaren_park.php
"Multi-Millionaire Mocks City's ""Lowball"" $100 Million Offer For Brooklyn Park Site",http://gothamist.com/2016/07/22/a_toast_to_evil.php
Williamsburg Apple Store Opening Four Days After Williamsburg Whole Foods Opens,http://gothamist.com/2016/07/21/williamsburg_apple_store_opens.php
"Drunk Driving Off-Duty Cop Who Killed Williamsburg Pedestrian Fired, Fellow Boozers Stripped Of Guns & Badges",http://gothamist.com/2016/07/20/off-duty_dwi_cop_fired_fellow_drink.php
Mysterious Fires Plague Williamsburg Condo Building Owned By Trump's Son-In-Law,http://gothamist.com/2016/07/18/kushner_184_kent_fires.php
Allegedly Drunk Off-Duty Cop Killed MIT Student On Williamsburg Sidewalk,http://gothamist.com/2016/07/18/mit_student_killed_by_cop.php
Photos: Mutant Bikes Invade Williamsburg's Bike Fetish Day Block Party,http://gothamist.com/2016/07/17/photos_mutant_bikes_invade_williams.php
"Off-Duty Cop Hit With Manslaughter, DWI After Fatally Striking Pedestrians In Williamsburg",http://gothamist.com/2016/07/17/off-duty_cop_hit_with_manslaughter.php
