"neighborhood","url","ds","area","title.short"
"bay+ridge","www.dnainfo.com/new-york/20161031/inwood/crime-victims-across-city-getting-devoted-advocate-under-nypd-pilot-program","20161031","inwood","crime victims across city getting devoted advocate under nypd pilot program"
"bay+ridge","www.dnainfo.com/new-york/20160808/greenwich-village/halloween-store-nyc","20160808","greenwich-village","halloween store nyc"
"bay+ridge","www.dnainfo.com/new-york/20161026/gravesend/2-men-charged-with-murder-for-double-shooting-gravesend-last-year-nypd","20161026","gravesend","2 men charged with murder for double shooting gravesend last year nypd"
"bay+ridge","www.dnainfo.com/new-york/20160824/dumbo/glass-pigeons-created-by-brooklyn-artist-nesting-on-nyc-streetlights","20160824","dumbo","glass pigeons created by brooklyn artist nesting on nyc streetlights"
"bay+ridge","www.dnainfo.com/new-york/20160823/bushwick/city-drop-more-pesticide-prevent-spread-of-zika-west-nile-viruses","20160823","bushwick","city drop more pesticide prevent spread of zika west nile viruses"
"bay+ridge","www.dnainfo.com/new-york/20160819/gravesend/nypd-rescues-german-shepherd-drowing-gravesend-bay","20160819","gravesend","nypd rescues german shepherd drowing gravesend bay"
"bay+ridge","www.dnainfo.com/new-york/20160818/downtown-brooklyn/man-uses-card-skimmer-steal-13k-from-brooklyn-atms-police-say","20160818","downtown-brooklyn","man uses card skimmer steal 13k from brooklyn atms police say"
"bay+ridge","www.dnainfo.com/new-york/20160815/park-slope/15-ways-remember-240th-anniversary-of-battle-of-brooklyn","20160815","park-slope","15 ways remember 240th anniversary of battle of brooklyn"
"bay+ridge","www.dnainfo.com/new-york/20160712/tribeca/restaurant-week-nyc-where-go","20160712","tribeca","restaurant week nyc where go"
"bay+ridge","www.dnainfo.com/new-york/20160723/bay-ridge/drunk-bay-ridge-man-stabs-housemate-during-weekly-game-night-nypd-says","20160723","bay-ridge","drunk bay ridge man stabs housemate during weekly game night nypd says"
"bay+ridge","www.dnainfo.com/new-york/20160722/bensonhurst/woman-dies-2-weeks-after-being-struck-by-motorcycle-brooklyn-nypd-says","20160722","bensonhurst","woman dies 2 weeks after being struck by motorcycle brooklyn nypd says"
"bay+ridge","www.dnainfo.com/new-york/20160720/red-hook/atlantic-basin-selected-as-red-hooks-citywide-ferry-dock-location","20160720","red-hook","atlantic basin selected as red hooks citywide ferry dock location"
"bay+ridge","www.dnainfo.com/new-york/20160718/downtown-brooklyn/subway-makeover-will-include-wider-doors-accordion-style-cars-mta-says","20160718","downtown-brooklyn","subway makeover will include wider doors accordion style cars mta says"
"bay+ridge","www.dnainfo.com/new-york/20160718/gerritsen-beach/drunk-driver-kills-teenage-cyclist-brooklyn-nypd-says","20160718","gerritsen-beach","drunk driver kills teenage cyclist brooklyn nypd says"
"bay+ridge","www.dnainfo.com/new-york/20160613/south-beach/city-spend-43m-strengthening-streets-for-bus-use","20160613","south-beach","city spend 43m strengthening streets for bus use"
"bay+ridge","www.dnainfo.com/new-york/20160613/gravesend/2-wounded-shooting-at-brooklyn-restaurant-police-say","20160613","gravesend","2 wounded shooting at brooklyn restaurant police say"
"bay+ridge","www.dnainfo.com/new-york/20160610/gravesend/man-tries-abduct-11-year-old-gravesend-police-say","20160610","gravesend","man tries abduct 11 year old gravesend police say"
"bay+ridge","www.dnainfo.com/new-york/20160606/clinton-hill/dazzling-double-rainbow-wows-new-yorkers-after-weekend-storm","20160606","clinton-hill","dazzling double rainbow wows new yorkers after weekend storm"
"bay+ridge","www.dnainfo.com/new-york/20160531/bensonhurst/woman-tries-snatch-2-year-old-girl-bensonhurst-police-say","20160531","bensonhurst","woman tries snatch 2 year old girl bensonhurst police say"
"bay+ridge","www.dnainfo.com/new-york/20160526/red-hook/red-hook-pushes-for-atlantic-basin-ferry-dock","20160526","red-hook","red hook pushes for atlantic basin ferry dock"
"bay+ridge","www.dnainfo.com/new-york/20160524/bensonhurst/mob-linked-ex-nypd-officer-arrested-for-running-prostitution-ring-sources","20160524","bensonhurst","mob linked ex nypd officer arrested for running prostitution ring sources"
"bay+ridge","www.dnainfo.com/new-york/20160519/mariners-harbor/photos-staten-island-shipyard-builds-new-citywide-ferry-landings","20160519","mariners-harbor","photos staten island shipyard builds new citywide ferry landings"
"bay+ridge","www.dnainfo.com/new-york/20160505/navy-yard/photos-new-citywide-ferry-landings-coming-10-stops-by-june-2017","20160505","navy-yard","photos new citywide ferry landings coming 10 stops by june 2017"
"bay+ridge","www.dnainfo.com/new-york/20160503/navy-yard/citywide-ferry-service-could-significantly-hike-air-pollution-at-12-sites","20160503","navy-yard","citywide ferry service could significantly hike air pollution at 12 sites"
"bay+ridge","www.dnainfo.com/new-york/20160428/navy-yard/citywide-ferry-service-launches-splashy-website-ahead-of-june-2017-debut","20160428","navy-yard","citywide ferry service launches splashy website ahead of june 2017 debut"
"bay+ridge","www.dnainfo.com/new-york/20160304/bay-ridge/winter-misery-index-make-it-stop","20160304","bay-ridge","winter misery index make it stop"
"bay+ridge","www.dnainfo.com/new-york/20160303/greenpoint/sign-up-for-brooklyns-first-bike-rave-coming-waterfront-spring","20160303","greenpoint","sign up for brooklyns first bike rave coming waterfront spring"
"bay+ridge","www.dnainfo.com/new-york/20160303/astoria/citywide-ferry-service-launch-june-2017-official-says","20160303","astoria","citywide ferry service launch june 2017 official says"
"bay+ridge","www.dnainfo.com/new-york/20160302/gravesend/pedestrian-critically-hurt-after-being-struck-by-vehicle-brooklyn-fdny","20160302","gravesend","pedestrian critically hurt after being struck by vehicle brooklyn fdny"
"bay+ridge","www.dnainfo.com/new-york/20160226/washington-heights/councilmembers-push-bills-limit-hookah-smoking-city","20160226","washington-heights","councilmembers push bills limit hookah smoking city"
"bay+ridge","www.dnainfo.com/new-york/20160224/bay-ridge/winter-misery-index-rain-wind-ire","20160224","bay-ridge","winter misery index rain wind ire"
"bay+ridge","www.dnainfo.com/new-york/20160219/midtown/map-see-ideal-mta-subway-system","20160219","midtown","map see ideal mta subway system"
"bay+ridge","www.dnainfo.com/new-york/20160217/boerum-hill/take-root-bien-cuit-among-brooklyn-semifinalists-for-james-beard-awards","20160217","boerum-hill","take root bien cuit among brooklyn semifinalists for james beard awards"
"bay+ridge","www.dnainfo.com/new-york/20160217/bensonhurst/longtime-dj-at-rock-capital-of-brooklyn-explores-its-legacy-new-book","20160217","bensonhurst","longtime dj at rock capital of brooklyn explores its legacy new book"
"bay+ridge","www.dnainfo.com/new-york/20160215/bay-ridge/winter-misery-index-freezing-snowy-mess-for-presidents-day","20160215","bay-ridge","winter misery index freezing snowy mess for presidents day"
"bay+ridge","www.dnainfo.com/new-york/20160211/sunnyside-staten-island/serial-killer-convicted-of-2012-murders-of-3-brooklyn-shopkeepers","20160211","sunnyside-staten-island","serial killer convicted of 2012 murders of 3 brooklyn shopkeepers"
"bay+ridge","www.dnainfo.com/new-york/20160111/stuy-town/city-taking-questions-about-east-river-ferry-dock-at-stuyvesant-cove-park","20160111","stuy-town","city taking questions about east river ferry dock at stuyvesant cove park"
